amenities,descripcion,nombre,precio
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Sauna,Restaurant,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","If you’re looking for a family-friendly hotel in Guayaquil, look no further than Sheraton Guayaquil Hotel.,For those interested in checking out popular landmarks while visiting Guayaquil, Sheraton Guayaquil is located a short distance from El Castillo Chocolate Farm (1.9 mi) and El Faro de Guayaquil (2.0 mi).,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and newspaper while staying at Guayaquil Four Points. In addition, Guayaquil Sheraton offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,While in Guayaquil be sure to experience nearby diners such as Ville Crepes, Rock Sport Café, or Pollos De Boncho.,Guayaquil is also home to Museo en Miniatura Guayaquil en la Historia, a popular military museum that is not too far from Four Points Guayaquil.,The staff at Sheraton Guayaquil Hotel looks forward to serving you during your upcoming visit.",Sheraton Guayaquil Hotel,"MX1,631,MX1,631,MX1,632,MX1,595"
"Free public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Game room,Table tennis,Indoor play area for children,Airport transportation,Street parking,Wifi,Breakfast available,Board games / puzzles,Shuttle bus service,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shared kitchen,24-hour front desk,Laundry service,Air conditioning,Housekeeping,Non-smoking rooms",,Nazu City Hostel,
"Free parking,Free High Speed Internet (WiFi),Hot tub,Vending machine,Meeting rooms,Concierge,Non-smoking hotel,Self-serve laundry,Parking garage,Wifi,Air conditioning,Kitchenette,Microwave,Refrigerator,Non-smoking rooms,Suites,Family rooms",,Apart Terrazas Guayaquil Suites & Lofts,"MX1,384,MX1,435,MX1,521,MX1,187"
"Paid private parking nearby,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Solarium,Secured parking,Wifi,Hot tub,Indoor pool,Sauna,Restaurant,Breakfast buffet,Vending machine,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Hotel Ramada,"MX1,210,MX952,MX1,210"
"Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Hiking,Babysitting,Books, DVDs, music for children,Pets Allowed ( Dog / Pet Friendly ),Parking garage,Wifi,Pool / beach towels,Outdoor pool,Coffee shop,Restaurant,Breakfast in the room,Special diet menus,Children's television networks,Children Activities (Kid / Family Friendly),Airport transportation,BBQ facilities,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,Private check-in / check-out,Dry cleaning,Ironing service,Air conditioning,Housekeeping,Bottled water,Iron,Non-smoking rooms,Suites,Family rooms",,Iguanazu Bed & Breakfast,
"Free parking,Free High Speed Internet (WiFi),Hot tub,Free breakfast,Airport transportation,Spa,Baggage storage,Chapel / shrine,Secured parking,Wifi,Outdoor pool,Pool / beach towels,Breakfast in the room,Special diet menus,Wine / champagne,Shuttle bus service,Car hire,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Outdoor furniture,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Housekeeping,Room service,Safe,Bottled water,Iron,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Hotel Boutique Orilla del Rio,
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms",,Manso Boutique Guesthouse,"MX673,MX673,MX528,MX671"
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Board games / puzzles,Children Activities (Kid / Family Friendly),Kids' outdoor play equipment,Airport transportation,Parking garage,Wifi,Bar / lounge,Coffee shop,Concierge,Gift shop,Non-smoking hotel,Outdoor furniture,Picnic area,Shared kitchen,Shared lounge / TV area,Private check-in / check-out,Laundry service,Air conditioning,Safe,Clothes rack,Wake-up service / alarm clock,Flatscreen TV,Bath / shower,Complimentary toiletries,Non-smoking rooms,Suites,Family rooms",,Hotel Boutique El Escalon,
"Paid private parking on-site,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Business Center with Internet Access,Conference facilities,Baggage storage,Newspaper,Parking garage,Wifi,Coffee shop,Restaurant,Breakfast buffet,Kids' meals,Snack bar,Special diet menus,Banquet room,Meeting rooms,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Bath / shower,Safe,Telephone,Bottled water,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites",,Galeria Man-Ging,"MX1,201,MX1,067,MX1,201"
"Parking garage,Free internet,Bar / lounge,Books, DVDs, music for children,Airport transportation,Baggage storage,Non-smoking hotel,24-hour front desk,Wifi,Breakfast available,Snack bar,Shared lounge / TV area,Laundry service,Air conditioning,Housekeeping,Safe,Non-smoking rooms,Family rooms",,Villa64,"MX730,MX777,MX706,MX777"
